Title,Character1,Character2,Character3,Character4
Fated to Love You,,Kim Mi Young,Lee Gun,
Moon Embracing the Sun,,,Heo Yeon Woo / Wol,Lee Hwon
Are You Human Too?,,,Nam Shin / Android Nam Shin III,Kang So Bong
Queen In Hyun's Man,,,Kim Bung Do,Choi Hee Jin
Touch Your Heart,,,Kwon Jung Rok,Oh Yoon Seo / Oh Jin Shim
Just Between Lovers,,,Lee Kang Doo,Ha Moon Soo
Emergency Couple,,,Oh Jin Hee,Oh Chang Min
Introverted Boss,,,Eun Hwan Ki,Chae Ro Woon
Shopping King Louie,,,Kang Ji Sung / Louis,Go Bok Shil
Faith,,General Choi Yeong,Dr. Yoo Eun Soo,
Memories of the Alhambra,Yoo Jin Woo,,,Jung Hee Joo / Emma
"Marriage, Not Dating",,,Gong Ki Tae,Joo Jang Mi
Thirty But Seventeen,,Gong Woo Jin,Woo Seo Ri,
True Beauty,Lim Joo Gyung / Joo Bal,Lee Su Ho,,
Shut Up: Flower Boy Band,,,Kwon Ji Hyuk,Im Soo Ah
Angel's Last Mission: Love,,,Kim Dan / Yoo Sung Woo,Lee Yeon Seo | Choi Sul Hee
The Beauty Inside,,,Han Se Gye,Seo Do Jae
The Innocent Man,,Kang Ma Roo,Seo Eun Ki,
Abyss,,Cha Min,Go Se Yeon | Lee Mi Do,
Sungkyunkwan Scandal,,,Lee Sun Joon,Kim Yoon Hee / Kim Yoon Shik
Blood,,,Park Ji Sang,Yoo Ri Ta
Flower Boy Ramen Shop,Cha Chi Soo,,,Yang Eun Bi
Another Miss Oh,,,Park Do Kyung,Oh Hae Young #1
Chicago Typewriter,,,Han Se Joo | Seo Hwi Young,Jun Seol | Ryu Soo Hyun
Flower of Evil,Baek Hee Sung / Do Hyun Soo,Cha Ji Won,,
Gu Family Book,,,Choi Kang Chi,Dam Yeo Wool
Mr. Sunshine,,,Choi Yoo Jin / Eugene Choi,Go Ae Shin
The Girl Who Sees Scents,,,Choi Moo Gak,Oh Cho Rim / Choi Eun Sul
The Great Seducer,,,Kwon Shi Hyun,Eun Tae Hee
School 2017,,,Ra Eun Ho,Hyun Tae Woon
King2Hearts,,,Prince Lee Jae Ha,Kim Hang Ah
