,Unnamed: 0,Title,Ratings,Ranked,Popularity,Actor 1,Name,Info,Info1,Info2,Info3,Info4,Info5,Info6,Image
33,33,A Beautiful Mind,8.3, #491, #265,Jang Hyuk,Jang Hyuk, Jung, 장혁, 정용준;Jeong Yong Jun, South Korean, Male," December 20, 1976", 44,https://i.mydramalist.com/01XN7c.jpg
34,34,A Bird That Doesn't Sing,7.3, #35203, #7126,Oh Hyun Kyung,Oh Hyun Kyung, Oh, 오현경, Oh Hyeon Kyeong;Oh Hyun Kyeong;Oh Hyeon Gyeong;오상지, South Korean, Female," March 25, 1970", 50,https://i.mydramalist.com/QpWY4c.jpg
35,35,A Bird That Doesn't Sing,7.3, #35203, #7126,Hong Ah Reum,Hong Ah Reum, Hong, 홍아름, South Korean, Female," March 28, 1989", 31,,https://i.mydramalist.com/7QzEec.jpg
36,36,A Daughter Just Like You,7.6, #30960, #4045,Lee Soo Kyung,Lee Soo Kyung, Lee, 이수경, Lee Soo Kyeong;Lee Su Kyeong;Lee Su Gyeong;Lee Soo Gyung;Lee Su Kyung;Lee Su Gyung, South Korean, Female," March 13, 1982", 38,https://i.mydramalist.com/j2Wbzc.jpg
37,37,A Daughter Just Like You,7.6, #30960, #4045,Woo Hee Jin,Woo Hee Jin, Woo, 우희진, U Hui Jin;Woo Hui Jin, South Korean, Female," May 24, 1975", 45,https://i.mydramalist.com/8xQEQc.jpg
38,38,A Gentleman's Dignity,8.3, #442, #152,Kim Ha Neul,Kim Ha Neul, Kim, 김하늘, South Korean, Female," February 21, 1978", 43,,https://i.mydramalist.com/Qy7kW_5c.jpg
39,39,A Gentleman's Dignity,8.3, #442, #152,Jang Dong Gun,Jang Dong Gun, Jang, 장동건, Jang Dong Geon, South Korean, Male," March  7, 1972", 48,https://i.mydramalist.com/Lxm33c.jpg
40,40,A Good Day for the Wind to Blow,7.1, #36845, #4568,Kim Ji Han,Kim Ji Han, Kim, 김지한, 김현중; Kim Hyeon Joong; Jin Yi Han;, South Korean, Male," October 10, 1978", 42,https://i.mydramalist.com/68n8Kc.jpg
41,41,A Good Day for the Wind to Blow,7.1, #36845, #4568,Kim So Eun,Kim So Eun, Kim, 김소은, Gim So Eun, South Korean, Female," September  6, 1989", 31,https://i.mydramalist.com/x71jy_5c.jpg
42,42,A Good Supper,8.0, #27942, #6491,Jung Woo Yeon,Jung Woo Yeon, Ryu, 류효영, 정우연, South Korean, Female," April 22, 1993", 27,https://i.mydramalist.com/ZjEzJ_5c.jpg
43,43,A Good Supper,8.0, #27942, #6491,Jae Hee,Jae Hee, Lee, 재희, Jae Hui;Lee Hyeon Gyun;이현균, South Korean, Male," May 25, 1980", 40,https://i.mydramalist.com/XXjeq_5c.jpg
44,44,A Hundred Year's Inheritance,7.1, #4033, #1900,Lee Jung Jin,Lee Jung Jin, Lee, 이정진, Lee Jeong Jin;李廷镇;Li Tingzhen, South Korean, Male," May 25, 1978", 42,https://i.mydramalist.com/QXZW7c.jpg
45,45,A Hundred Year's Inheritance,7.1, #4033, #1900,Eugene,Eugene, Kim, 유진, 김유진;Kim Yu Jin, South Korean, Female," March  3, 1981", 40,https://i.mydramalist.com/RyoYV_5c.jpg
46,46,A Korean Odyssey,8.3, #509, #53,Oh Yeon Seo,Oh Yeon Seo, Oh, 오연서, Oh Yun Suh;오햇님, South Korean, Female," June 22, 1987", 33,https://i.mydramalist.com/XgBRgc.jpg
47,47,A Korean Odyssey,8.3, #509, #53,Lee Seung Gi,Lee Seung Gi, Lee, 이승기, Lee Seung Ki;Yi Seung Gi, South Korean, Male," January 13, 1987", 34,https://i.mydramalist.com/B3RRqc.jpg
48,48,A Love So Beautiful,7.8, #1566, #676,So Ju Yeon,So Ju Yeon, So, 소주연, So Joo Yun;So Joo Yeon, South Korean, Female," December 31, 1993", 27,https://i.mydramalist.com/kdxZv_5c.jpg
49,49,A Love So Beautiful,7.8, #1566, #676,Kim Yo Han,Kim Yo Han, Kim, 김요한, South Korean, Male," September 22, 1999", 21,,https://i.mydramalist.com/Erl6Oc.jpg
50,50,A Man Called God,7.3, #3671, #1971,Song Il Gook,Song Il Gook, Song, 송일국, Song Il Guk;Song Il Kook, South Korean, Male," October  1, 1971", 49,https://i.mydramalist.com/XOyKZ_5c.jpg
51,51,A Man Called God,7.3, #3671, #1971,Han Chae Young,Han Chae Young, Kim, 한채영, 김지영; Han Chae Yeong; Kim Ji Yeong;, South Korean, Female," September 13, 1980", 40,https://i.mydramalist.com/BmgR6c.jpg
52,52,A Man in a Veil,7.1, #37869, #5043,Uhm Hyun Kyung,Uhm Hyun Kyung, Uhm, 엄현경, Eom Hyun Kyung;Eom Hyeon Gyeong;Uhm Hyeon Kyeong, South Korean, Female," November  4, 1986", 34,https://i.mydramalist.com/145R3c.jpg
53,53,A Man in a Veil,7.1, #37869, #5043,Kang Eun Tak,Kang Eun Tak, Kang, 강은탁, South Korean, Male," August 16, 1982", 38,,https://i.mydramalist.com/VKLZQc.jpg
54,54,A Piece of Your Mind,8.1, #734, #366,Chae Soo Bin,Chae Soo Bin, Bae, 채수빈, Chae Su Bin;배수빈;Bae Su Bin, South Korean, Female," July 10, 1994", 26,https://i.mydramalist.com/ZoeeOc.jpg
55,55,A Piece of Your Mind,8.1, #734, #366,Jung Hae In,Jung Hae In, Jung, 정해인, Jeong Hae In, South Korean, Male," April  1, 1988", 32,https://i.mydramalist.com/r3l2N_5c.jpg
56,56,A Place in the Sun,7.4, #33877, #4337,Yoon So Yi,Yoon So Yi, Yoon, 윤소이, Yun So Yi;Mun So Lee;So Yi Mun;Yun So I, South Korean, Female," January  5, 1985", 36,https://i.mydramalist.com/jVLxBc.jpg
57,57,A Place in the Sun,7.4, #33877, #4337,Oh Chang Seok,Oh Chang Seok, Oh, 오창석, Oh Chang Suk;O Chang Seok;O Chang Suk, South Korean, Male," June  2, 1982", 38,https://i.mydramalist.com/XvoBxc.jpg
58,58,A Pledge to God,7.7, #30037, #3932,Bae Soo Bin,Bae Soo Bin, Yoon, 배수빈, Bae Su Bin;Yun Tae Uk;Pae Subin;윤태욱, South Korean, Male," December  9, 1976", 44,https://i.mydramalist.com/X3jAJc.jpg
59,59,A Pledge to God,7.7, #30037, #3932,Han Chae Young,Han Chae Young, Kim, 한채영, 김지영; Han Chae Yeong; Kim Ji Yeong;, South Korean, Female," September 13, 1980", 40,https://i.mydramalist.com/BmgR6c.jpg
60,60,A Poem a Day,7.9, #1232, #438,Lee Joon Hyuk,Lee Joon Hyuk, Lee, 이준혁, Lee Jun Hyuk;Lee Joon Hyeok;Lee Jun Hyeok, South Korean, Male," March 13, 1984", 36,https://i.mydramalist.com/QBg4A_5c.jpg
61,61,A Poem a Day,7.9, #1232, #438,Lee Yoo Bi,Lee Yoo Bi, Lee, 이유비, Lee Yu Bi;Im Yu Bi, South Korean, Female," November 22, 1990", 30,https://i.mydramalist.com/BbNl1c.jpg
62,62,A Tale of Two Sisters,6.6, #41894, #5864,Park Jae Jung,Park Jae Jung, Park, 박재정, Park Jae Jeong;, South Korean, Male," June 24, 1980", 40,https://i.mydramalist.com/vXE8ec.jpg
