,Unnamed: 0,pair,actor1,actor2,lineCount,score,actor1match,actor2match
61,61,"('JungYongHwa', 'ParkShinHye')",JungYongHwa,ParkShinHye,9,0.2402439024390243,KimMyungSoo,nan
62,62,"('KimYoungKwang', 'JinKiJoo')",KimYoungKwang,JinKiJoo,12,0.2386752136752136,nan,nan
63,63,"('OkTaecYeon', 'KimSoHyun')",OkTaecYeon,KimSoHyun,9,0.2341954022988505,"[['JinHyuk', 'SungJoon'], 'JoHanSun']","[[[[['KimHyunSoo', 'HyoMin'], 'KimHeeJung'], 'ChoiYeonCheong'], 'ParkHaSun'], 'YoonYeJoo']"
64,64,"('SoJiSub', 'GongHyoJin')",SoJiSub,GongHyoJin,20,0.2341101953601954,SongChangEui,nan
65,65,"('ShinSeKyung', 'ImShiWan')",ShinSeKyung,ImShiWan,7,0.234090354090354,"[[[[['BaeDaBin', 'YoonSoHee'], 'JeonSoMin'], 'LeeRuby'], 'BaeSuzy'], 'Yura']",nan
66,66,"('HanGroo', 'YeonWooJin')",HanGroo,YeonWooJin,5,0.2294444444444444,ShinHyeSun,LeeJoonHyuk
67,67,"('TakWooSuk', 'YeonSeungHo')",TakWooSuk,YeonSeungHo,6,0.2277777777777777,GoJoon,"['SonWooHyun', 'JangWooYoung']"
68,68,"('LeeByungHun', 'KimTaeRi')",LeeByungHun,KimTaeRi,5,0.2276041666666666,nan,nan
69,69,"('ParkYooChun', 'HanJiMin')",ParkYooChun,HanJiMin,7,0.2258613445378151,"['LeeSeungJun', 'BaeInHyuk']",nan
70,70,"('JiChangWook', 'SongYoonAh')",JiChangWook,SongYoonAh,7,0.225,LeeSooHyuk,nan
71,71,"('JiSung', 'HanJiMin')",JiSung,HanJiMin,6,0.2208333333333333,"['JooSangWook', 'JoHyunJae']",nan
72,72,"('GongYoo', 'KimGoEun')",GongYoo,KimGoEun,25,0.2189518336070059,nan,"[[[['JoHyeJoo', 'ChoiARa'], 'LeeSooJi'], 'KimSeulGi'], 'KimHyeJoon']"
73,73,"('SeoKangJoon', 'GongSeungYeon')",SeoKangJoon,GongSeungYeon,16,0.2175,"['JungKyungHo', 'KangHoon']","[['HanSoHee', 'RyuHyunKyung'], 'MoonSoRi']"
74,74,"('HeoHyunJun', 'YooJun')",HeoHyunJun,YooJun,7,0.2164228219696969,KimYoungKwang,KwakDongYeon
75,75,"('KimSoHyun', 'SongKang')",KimSoHyun,SongKang,7,0.2159722222222223,"[[[[['KimHyunSoo', 'HyoMin'], 'KimHeeJung'], 'ChoiYeonCheong'], 'ParkHaSun'], 'YoonYeJoo']","[['ParkJiHoon', 'OhMinSuk'], 'WonHyungHoon']"
76,76,"('ImSooJung', 'YooAhIn')",ImSooJung,YooAhIn,5,0.215340909090909,KimBoMi,nan
77,77,"('OhYeonSeo', 'LeeSeungGi')",OhYeonSeo,LeeSeungGi,10,0.2120987654320988,"[[[['ChunWooHee', 'WangJiHye'], 'JungYuMi'], 'ParkGyuRi'], 'JungDaSol']",nan
78,78,"('HwangJungEum', 'JiSung')",HwangJungEum,JiSung,10,0.2096846846846846,nan,"['JooSangWook', 'JoHyunJae']"
79,79,"('LeeJongSuk', 'LeeBoYoung')",LeeJongSuk,LeeBoYoung,12,0.2044602272727272,nan,"[['LeeChungAh', 'JangYoungNam'], 'MoonGaYoung']"
