Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
Oh My Venus,8.3, #452, #35,So Ji Sub,/people/493-so-ji-sub,Shin Min Ah,/people/282-shin-min-ah
My ID Is Gangnam Beauty,8.2, #673, #37,Im Soo Hyang,/people/545-im-soo-hyang,Cha Eun Woo,/people/10399-cha-eun-woo
Itaewon Class,8.5, #186, #40,Park Seo Joon,/people/2195-park-seo-joon,Kim Da Mi,/people/14422-kim-da-mi
Her Private Life,8.4, #279, #47,Park Min Young,/people/430-park-min-young,Kim Jae Wook,/people/314-kim-jae-wook
Personal Taste,7.7, #2064, #38,Lee Min Ho,/people/232-lee-min-ho,Son Ye Jin,/people/293-son-ye-jin
The K2,8.1, #704, #41,Ji Chang Wook,/people/806-ji-chang-wook,Im Yoon Ah,/people/972-im-yoon-ah
Because This is My First Life,8.6, #146, #39,Jung So Min,/people/346-jung-so-min,Lee Min Ki,/people/656-lee-min-ki
Hwarang,8.0, #1095, #42,Park Seo Joon,/people/2195-park-seo-joon,Go Ah Ra,/people/1287-go-ah-ra
Who Are You: School 2015,8.3, #501, #44,Kim So Hyun,/people/1851-kim-so-hyun,Nam Joo Hyuk,/people/7714-nam-joo-hyuk
My Girlfriend Is a Gumiho,8.1, #775, #49,Lee Seung Gi,/people/387-lee-seung-gi,Shin Min Ah,/people/282-shin-min-ah
Reply 1988,9.0, #18, #51,Lee Hye Ri,/people/2664-hyeri,Go Kyung Pyo,/people/2374-go-kyung-pyo
Doctor Stranger,7.9, #1489, #52,Lee Jong Suk,/people/900-lee-jong-suk,Jin Se Yeon,/people/2121-jin-se-yeon
To The Beautiful You,7.5, #2811, #46,Sulli,/people/3235-sulli,Choi Min Ho,/people/1422-choi-min-ho
Heartstrings,7.5, #2781, #45,Park Shin Hye,/people/210-park-shin-hye,Jung Yong Hwa,/people/212-jung-yong-hwa
Love in the Moonlight,8.2, #523, #50,Park Bo Gum,/people/4157-park-bo-gum,Kim Yoo Jung,/people/1894-kim-yoo-jung
Doctors,7.8, #1604, #54,Kim Rae Won,/people/301-kim-rae-won,Park Shin Hye,/people/210-park-shin-hye
Rooftop Prince,8.2, #548, #61,Park Yoo Chun,/people/429-park-yoo-chun,Han Ji Min,/people/1225-han-ji-min
Romance is a Bonus Book,8.3, #459, #56,Lee Na Young,/people/818-lee-na-young,Lee Jong Suk,/people/900-lee-jong-suk
A Korean Odyssey,8.3, #509, #53,Lee Seung Gi,/people/387-lee-seung-gi,Oh Yeon Seo,/people/1722-oh-yeon-seo
Flower Boy Next Door,7.6, #2428, #57,Park Shin Hye,/people/210-park-shin-hye,Yoon Shi Yoon,/people/395-yoon-shi-yoon
My Secret Romance,7.6, #2297, #58,Sung Hoon,/people/546-sung-hoon,Song Ji Eun,/people/4962-song-ji-eun
Extraordinary You,8.4, #280, #62,Kim Hye Yoon,/people/21677-kim-hye-yoon,Ro Woon,/people/11629-ro-woon
Touch Your Heart,8.3, #433, #66,Lee Dong Wook,/people/274-lee-dong-wook,Yoo In Na,/people/633-yoo-in-na
"Bring It On, Ghost",8.2, #641, #65,Ok Taec Yeon,/people/423-ok-taec-yeon,Kim So Hyun,/people/1851-kim-so-hyun
Fated to Love You,8.2, #616, #64,Jang Hyuk,/people/181-jang-hyuk,Jang Na Ra,/people/668-jang-na-ra
Love Alarm,7.8, #1530, #70,Kim So Hyun,/people/1851-kim-so-hyun,Song Kang,/people/14472-song-kang
Uncontrollably Fond,8.0, #1049, #59,Kim Woo Bin,/people/2406-kim-woo-bin,Bae Suzy,/people/422-suzy
The Bride of Habaek,7.3, #3517, #60,Shin Se Kyung,/people/993-shin-se-kyung,Nam Joo Hyuk,/people/7714-nam-joo-hyuk
Are You Human Too?,8.3, #342, #71,Seo Kang Joon,/people/6214-seo-kang-joon,Gong Seung Yeon,/people/9347-gong-seung-yeon
Age of Youth,8.6, #106, #74,Han Ye Ri,/people/4174-han-ye-ri,Ryu Hwa Young,/people/7903-ryu-hwa-young
