,Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
44,To The Beautiful You,7.5, #2811, #46,Sulli,https://www.mydramalist.com/people/3235-sulli,Choi Min Ho,https://www.mydramalist.com/people/1422-choi-min-ho
45,Heartstrings,7.5, #2781, #45,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye,Jung Yong Hwa,https://www.mydramalist.com/people/212-jung-yong-hwa
46,Love in the Moonlight,8.2, #523, #50,Park Bo Gum,https://www.mydramalist.com/people/4157-park-bo-gum,Kim Yoo Jung,https://www.mydramalist.com/people/1894-kim-yoo-jung
47,Doctors,7.8, #1604, #54,Kim Rae Won,https://www.mydramalist.com/people/301-kim-rae-won,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye
48,Rooftop Prince,8.2, #548, #61,Park Yoo Chun,https://www.mydramalist.com/people/429-park-yoo-chun,Han Ji Min,https://www.mydramalist.com/people/1225-han-ji-min
49,Romance is a Bonus Book,8.3, #459, #56,Lee Na Young,https://www.mydramalist.com/people/818-lee-na-young,Lee Jong Suk,https://www.mydramalist.com/people/900-lee-jong-suk
50,A Korean Odyssey,8.3, #509, #53,Lee Seung Gi,https://www.mydramalist.com/people/387-lee-seung-gi,Oh Yeon Seo,https://www.mydramalist.com/people/1722-oh-yeon-seo
51,Flower Boy Next Door,7.6, #2428, #57,Park Shin Hye,https://www.mydramalist.com/people/210-park-shin-hye,Yoon Shi Yoon,https://www.mydramalist.com/people/395-yoon-shi-yoon
52,My Secret Romance,7.6, #2297, #58,Sung Hoon,https://www.mydramalist.com/people/546-sung-hoon,Song Ji Eun,https://www.mydramalist.com/people/4962-song-ji-eun
53,Extraordinary You,8.4, #280, #62,Kim Hye Yoon,https://www.mydramalist.com/people/21677-kim-hye-yoon,Ro Woon,https://www.mydramalist.com/people/11629-ro-woon
54,Touch Your Heart,8.3, #433, #66,Lee Dong Wook,https://www.mydramalist.com/people/274-lee-dong-wook,Yoo In Na,https://www.mydramalist.com/people/633-yoo-in-na
55,"Bring It On, Ghost",8.2, #641, #65,Ok Taec Yeon,https://www.mydramalist.com/people/423-ok-taec-yeon,Kim So Hyun,https://www.mydramalist.com/people/1851-kim-so-hyun
56,Fated to Love You,8.2, #616, #64,Jang Hyuk,https://www.mydramalist.com/people/181-jang-hyuk,Jang Na Ra,https://www.mydramalist.com/people/668-jang-na-ra
57,Love Alarm,7.8, #1530, #70,Kim So Hyun,https://www.mydramalist.com/people/1851-kim-so-hyun,Song Kang,https://www.mydramalist.com/people/14472-song-kang
58,Uncontrollably Fond,8.0, #1049, #59,Kim Woo Bin,https://www.mydramalist.com/people/2406-kim-woo-bin,Bae Suzy,https://www.mydramalist.com/people/422-suzy
59,The Bride of Habaek,7.3, #3517, #60,Shin Se Kyung,https://www.mydramalist.com/people/993-shin-se-kyung,Nam Joo Hyuk,https://www.mydramalist.com/people/7714-nam-joo-hyuk
60,Are You Human Too?,8.3, #342, #71,Seo Kang Joon,https://www.mydramalist.com/people/6214-seo-kang-joon,Gong Seung Yeon,https://www.mydramalist.com/people/9347-gong-seung-yeon
61,Age of Youth,8.6, #106, #74,Han Ye Ri,https://www.mydramalist.com/people/4174-han-ye-ri,Ryu Hwa Young,https://www.mydramalist.com/people/7903-ryu-hwa-young
62,Just Between Lovers,8.6, #119, #68,Lee Jun Ho,https://www.mydramalist.com/people/5043-lee-jun-ho,Won Jin Ah,https://www.mydramalist.com/people/15721-won-jin-ah
63,The King: Eternal Monarch,8.0, #935, #63,Lee Min Ho,https://www.mydramalist.com/people/232-lee-min-ho,Kim Go Eun,https://www.mydramalist.com/people/2599-kim-go-eun
64,Moon Embracing the Sun,8.4, #278, #72,Han Ga In,https://www.mydramalist.com/people/561-han-ga-in,Kim Soo Hyun,https://www.mydramalist.com/people/424-kim-soo-hyun
65,Sassy Go Go,8.2, #629, #75,Jung Eun Ji,https://www.mydramalist.com/people/3843-jung-eun-ji,Lee Won Keun,https://www.mydramalist.com/people/1987-lee-won-geun
66,He Is Psychometric,8.4, #332, #78,Park Jin Young,https://www.mydramalist.com/people/2197-park-jin-young,Shin Ye Eun,https://www.mydramalist.com/people/19700-shin-ye-eun
