,Unnamed: 0,Unnamed: 0.1,pair,actor1,actor2,lineCount,score,actor1match,actor2match
59,59,59,"('GongSeungYeon', 'LeeJongHyun')",GongSeungYeon,LeeJongHyun,7,0.2434920634920634,"HanSoHee, RyuHyunKyung, MoonSoRi","YeoJinGoo, LeePilMo, MoonYongSuk"
60,60,60,"('JungYongHwa', 'ParkShinHye')",JungYongHwa,ParkShinHye,9,0.2402439024390243,"KimMyungSoo, KimMyungSoo",
61,61,61,"('JinKiJoo', 'KimYoungKwang')",JinKiJoo,KimYoungKwang,12,0.2386752136752136,,
62,62,62,"('KimSoHyun', 'OkTaecYeon')",KimSoHyun,OkTaecYeon,9,0.2341954022988505,"KimHyunSoo, HyoMin, KimHeeJung, ChoiYeonCheong, ParkHaSun, YoonYeJoo","JinHyuk, SungJoon, JoHanSun"
63,63,63,"('GongHyoJin', 'SoJiSub')",GongHyoJin,SoJiSub,20,0.2341101953601954,,SongChangEui
64,64,64,"('ImShiWan', 'ShinSeKyung')",ImShiWan,ShinSeKyung,7,0.234090354090354,,"BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura, BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura"
65,65,65,"('HanGroo', 'YeonWooJin')",HanGroo,YeonWooJin,5,0.2294444444444444,ShinHyeSun,LeeJoonHyuk
66,66,66,"('TakWooSuk', 'YeonSeungHo')",TakWooSuk,YeonSeungHo,6,0.2277777777777777,"GoJoon, GoJoon","SonWooHyun, JangWooYoung"
67,67,67,"('KimTaeRi', 'LeeByungHun')",KimTaeRi,LeeByungHun,5,0.2276041666666666,,
68,68,68,"('HanJiMin', 'ParkYooChun')",HanJiMin,ParkYooChun,7,0.2258613445378151,,"LeeSeungJun, BaeInHyuk"
69,69,69,"('JiChangWook', 'SongYoonAh')",JiChangWook,SongYoonAh,7,0.225,"LeeSooHyuk, LeeSooHyuk",
70,70,70,"('HanJiMin', 'JiSung')",HanJiMin,JiSung,6,0.2208333333333333,,"JooSangWook, JoHyunJae"
71,71,71,"('GongYoo', 'KimGoEun')",GongYoo,KimGoEun,25,0.2189518336070059,,"JoHyeJoo, ChoiARa, LeeSooJi, KimSeulGi, KimHyeJoon, JoHyeJoo, ChoiARa, LeeSooJi, KimSeulGi, KimHyeJoon"
72,72,72,"('GongSeungYeon', 'SeoKangJoon')",GongSeungYeon,SeoKangJoon,16,0.2175,"HanSoHee, RyuHyunKyung, MoonSoRi","JungKyungHo, KangHoon"
73,73,73,"('HeoHyunJun', 'YooJun')",HeoHyunJun,YooJun,7,0.2164228219696969,"KimYoungKwang, KimYoungKwang",KwakDongYeon
74,74,74,"('ImSooJung', 'YooAhIn')",ImSooJung,YooAhIn,5,0.215340909090909,KimBoMi,
75,75,75,"('LeeSeungGi', 'OhYeonSeo')",LeeSeungGi,OhYeonSeo,10,0.2120987654320988,,"ChunWooHee, WangJiHye, JungYuMi, ParkGyuRi, JungDaSol, ChunWooHee, WangJiHye, JungYuMi, ParkGyuRi, JungDaSol"
76,76,76,"('HwangJungEum', 'JiSung')",HwangJungEum,JiSung,10,0.2096846846846846,,"JooSangWook, JoHyunJae"
77,77,77,"('LeeBoYoung', 'LeeJongSuk')",LeeBoYoung,LeeJongSuk,12,0.2044602272727272,"LeeChungAh, JangYoungNam, MoonGaYoung",
78,78,78,"('HanHyoJoo', 'LeeJongSuk')",HanHyoJoo,LeeJongSuk,18,0.2017300724637681,,
79,79,79,"('KimDaMi', 'ParkSeoJoon')",KimDaMi,ParkSeoJoon,7,0.196078431372549,WonJinAh,ChoiTaeJoon
80,80,80,"('ChaeSooBin', 'YooSeungHo')",ChaeSooBin,YooSeungHo,6,0.1939583333333333,,
81,81,81,"('JoBoAh', 'LeeDongWook')",JoBoAh,LeeDongWook,8,0.1920454545454545,,LeeJooHyung
82,82,82,"('ImYoonAh', 'JiChangWook')",ImYoonAh,JiChangWook,5,0.1916666666666666,,LeeSooHyuk
83,83,83,"('ImSooJung', 'JangKiYong')",ImSooJung,JangKiYong,6,0.1867987305487304,KimBoMi,YoonHyunMin
84,84,84,"('KimSoHyun', 'SongKang')",KimSoHyun,SongKang,6,0.1862654320987654,"KimHyunSoo, HyoMin, KimHeeJung, ChoiYeonCheong, ParkHaSun, YoonYeJoo","ParkJiHoon, OhMinSuk, WonHyungHoon"
85,85,85,"('BaeSuzy', 'LeeJongSuk')",BaeSuzy,LeeJongSuk,5,0.1854022988505747,,
86,86,86,"('ParkMinYoung', 'ParkSeoJoon')",ParkMinYoung,ParkSeoJoon,15,0.1853390242716085,"ParkJooMi, Eugene",ChoiTaeJoon
87,87,87,"('LeeDongWook', 'LeeShiYoung')",LeeDongWook,LeeShiYoung,7,0.170798611111111,"LeeJooHyung, LeeJooHyung","SongYoonAh, SongYoonAh"
88,88,88,"('NamJooHyuk', 'ShinSeKyung')",NamJooHyuk,ShinSeKyung,8,0.1676510989010989,,"BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura, BaeDaBin, YoonSoHee, JeonSoMin, LeeRuby, BaeSuzy, Yura"
89,89,89,"('HwangInYeop', 'MoonGaYoung')",HwangInYeop,MoonGaYoung,6,0.1619047619047619,,
90,90,90,"('LeeMinHo', 'ParkShinHye')",LeeMinHo,ParkShinHye,15,0.1612735849056603,"KimShiHoo, KimShiHoo",
91,91,91,"('SungJoon', 'Uee')",SungJoon,Uee,6,0.152536231884058,,"SaHyunJin, HwangSunHee, SaHyunJin, HwangSunHee"
92,92,92,"('JunJiHyun', 'LeeMinHo')",JunJiHyun,LeeMinHo,6,0.1518398268398268,,KimShiHoo
93,93,93,"('KimGoEun', 'LeeMinHo')",KimGoEun,LeeMinHo,12,0.1501157407407408,"JoHyeJoo, ChoiARa, LeeSooJi, KimSeulGi, KimHyeJoon",KimShiHoo
94,94,94,"('KimMyungSoo', 'ShinYeEun')",KimMyungSoo,ShinYeEun,5,0.1177083333333333,"JungYongHwa, JungYongHwa","YooInYoung, YooInYoung"
95,95,95,"('BaeSuzy', 'NamJooHyuk')",BaeSuzy,NamJooHyuk,22,0.1163023679417122,,
96,96,96,"('GoAhRa', 'ParkSeoJoon')",GoAhRa,ParkSeoJoon,6,0.1099999999999999,KangYeNa,ChoiTaeJoon
97,97,97,"('JoJungSuk', 'ParkBoYoung')",JoJungSuk,ParkBoYoung,8,0.1053571428571428,,"NaHaeRyung, NaHaeRyung"
98,98,98,"('KimHeeAe', 'YooAhIn')",KimHeeAe,YooAhIn,5,0.0981481481481481,,
99,99,99,"('RoWoon', 'WonJinAh')",RoWoon,WonJinAh,7,0.0477910052910052,,"KimDaMi, MoonGeunYoung, KimDaMi, MoonGeunYoung"
100,100,100,"('KimGoEun', 'ParkHaeJin')",KimGoEun,ParkHaeJin,8,0.0249999999999999,"JoHyeJoo, ChoiARa, LeeSooJi, KimSeulGi, KimHyeJoon",One
101,101,101,"('HanJiMin', 'JungHaeIn')",HanJiMin,JungHaeIn,7,0.0145833333333333,,ParkJiBin
