,pair,actor1,actor2,lineCount,score
89,"('NamJooHyuk', 'ShinSeKyung')",NamJooHyuk,ShinSeKyung,8,0.16765109890109892
90,"('HwangInYeop', 'MoonGaYoung')",HwangInYeop,MoonGaYoung,6,0.1619047619047619
91,"('ParkShinHye', 'LeeMinHo')",ParkShinHye,LeeMinHo,15,0.16127358490566038
92,"('SungJoon', 'Uee')",SungJoon,Uee,6,0.152536231884058
93,"('LeeMinHo', 'JunJiHyun')",LeeMinHo,JunJiHyun,6,0.15183982683982689
94,"('LeeMinHo', 'KimGoEun')",LeeMinHo,KimGoEun,12,0.1501157407407408
95,"('KimMyungSoo', 'ShinYeEun')",KimMyungSoo,ShinYeEun,5,0.11770833333333333
96,"('BaeSuzy', 'NamJooHyuk')",BaeSuzy,NamJooHyuk,22,0.1163023679417122
97,"('GoAhRa', 'ParkSeoJoon')",GoAhRa,ParkSeoJoon,6,0.10999999999999999
98,"('JoJungSuk', 'ParkBoYoung')",JoJungSuk,ParkBoYoung,8,0.10535714285714286
99,"('YooAhIn', 'KimHeeAe')",YooAhIn,KimHeeAe,5,0.09814814814814814
100,"('ShinHyeSun', 'LeeJongSuk')",ShinHyeSun,LeeJongSuk,5,0.07674603174603174
101,"('KimGoEun', 'ParkHaeJin')",KimGoEun,ParkHaeJin,8,0.02499999999999999
102,"('JungHaeIn', 'HanJiMin')",JungHaeIn,HanJiMin,7,0.014583333333333328
